Episode, Score, Lines, Counts
806, 28, 0, 28
807, 340, 3, 40
808, 22, 0, 22
809, 132, 1, 32
810, 233, 2, 33
811, 339, 3, 39
812, 238, 2, 38
813, 33, 0, 33
814, 126, 1, 26
815, 241, 2, 41
816, 34, 0, 34
817, 341, 3, 41
818, 133, 1, 33
819, 14, 0, 14
820, 22, 0, 22
821, 136, 1, 36
822, 238, 2, 38
823, 132, 1, 32
824, 240, 2, 40
825, 128, 1, 28
826, 233, 2, 33
827, 13, 0, 13
828, 240, 2, 40
829, 27, 0, 27
830, 135, 1, 35
831, 239, 2, 39
832, 128, 1, 28
833, 241, 2, 41
834, 22, 0, 22
835, 18, 0, 18
836, 16, 0, 16
837, 140, 1, 40
838, 333, 3, 33
839, 24, 0, 24
840, 130, 1, 30
841, 137, 1, 37
842, 241, 2, 41
843, 340, 3, 40
844, 339, 3, 39
845, 9, 0, 9
846, 28, 0, 28
847, 20, 0, 20
848, 136, 1, 36
849, 18, 0, 18
850, 235, 2, 35
851, 239, 2, 39
852, 16, 0, 16
853, 942, 5, 42
854, 448, 4, 48
855, 135, 1, 35
856, 138, 1, 38
857, 133, 1, 33
858, 136, 1, 36
859, 544, 5, 44
860, 25, 0, 25
861, 340, 3, 40
862, 133, 1, 33
863, 14, 0, 14
864, 28, 0, 28
865, 26, 0, 26
866, 236, 2, 36
867, 125, 1, 25
868, 337, 3, 37
869, 27, 0, 27
870, 442, 4, 42
871, 130, 1, 30
872, 240, 2, 40
873, 548, 5, 48
874, 123, 1, 23
875, 11, 0, 11
876, 22, 0, 22
877, 14, 0, 14
878, 335, 3, 35
879, 131, 1, 31
880, 335, 3, 35
881, 442, 3, 42
882, 339, 3, 39
883, 136, 1, 36
884, 234, 2, 34
885, 341, 3, 41
886, 28, 0, 28
887, 236, 2, 36
888, 31, 0, 31
889, 440, 3, 40
890, 341, 3, 41
891, 22, 0, 22
892, 339, 3, 39
893, 9, 0, 9
894, 18, 0, 18
895, 22, 0, 22
896, 18, 0, 18
897, 238, 2, 38
898, 137, 1, 37
899, 344, 3, 44
900, 27, 0, 27
901, 136, 1, 36
902, 445, 4, 45
903, 134, 1, 34
904, 33, 0, 33
905, 545, 5, 45
906, 136, 1, 36
907, 131, 1, 31
908, 28, 0, 28
909, 235, 2, 35
910, 22, 0, 22
911, 15, 0, 15
912, 241, 2, 41
913, 24, 0, 24
914, 242, 2, 42
915, 341, 3, 41
916, 336, 2, 36
917, 22, 0, 22
918, 232, 2, 32
919, 10, 0, 10
920, 229, 2, 29
921, 17, 0, 17
922, 339, 3, 39
923, 235, 2, 35
924, 130, 1, 30
925, 445, 4, 45
926, 122, 1, 22
927, 14, 0, 14
928, 25, 0, 25
929, 21, 0, 21
930, 231, 2, 31
931, 34, 0, 34
932, 24, 0, 24
933, 239, 2, 39
934, 132, 1, 32
935, 31, 0, 31
936, 136, 1, 36
937, 236, 2, 36
938, 341, 3, 41
939, 125, 1, 25
940, 29, 0, 29
941, 231, 2, 31
942, 30, 0, 30
943, 22, 0, 22
944, 9, 0, 9
945, 444, 4, 44
946, 443, 4, 43
947, 539, 4, 39
948, 341, 3, 41
949, 237, 2, 37
950, 133, 1, 33
951, 748, 6, 48
952, 133, 1, 33
953, 131, 1, 31
954, 31, 0, 31
955, 233, 2, 33
956, 30, 0, 30
957, 337, 2, 37
958, 30, 0, 30
959, 29, 0, 29
960, 134, 1, 34
961, 26, 0, 26
962, 32, 0, 32
963, 238, 2, 38
964, 126, 1, 26
965, 441, 4, 41
966, 29, 0, 29
967, 35, 0, 35
968, 31, 0, 31
969, 445, 4, 45
970, 343, 3, 43
971, 443, 4, 43
972, 32, 0, 32
973, 339, 3, 39
974, 26, 0, 26
975, 130, 1, 30
976, 443, 4, 43
977, 135, 1, 35
978, 129, 1, 29
979, 133, 1, 33
980, 135, 1, 35
981, 441, 4, 41
982, 233, 2, 33
983, 239, 2, 39
984, 236, 2, 36
985, 340, 3, 40
986, 134, 1, 34
987, 37, 0, 37
988, 745, 6, 45
989, 25, 0, 25
990, 135, 1, 35
991, 339, 3, 39
992, 234, 2, 34
993, 541, 4, 41
994, 26, 0, 26
995, 127, 1, 27
996, 30, 0, 30
997, 26, 0, 26
998, 239, 2, 39
999, 121, 1, 21
1000, 241, 2, 41
1001, 238, 2, 38
1002, 30, 0, 30
1003, 343, 3, 43
1004, 31, 0, 31
1005, 650, 5, 50
1006, 133, 1, 33
1007, 19, 0, 19
1008, 338, 3, 38
1009, 537, 4, 37
1010, 228, 2, 28
1011, 752, 7, 52
1012, 133, 1, 33
1013, 340, 3, 40
1014, 241, 2, 41
1015, 29, 0, 29
1016, 134, 1, 34
1017, 24, 0, 24
1018, 132, 1, 32
1019, 134, 1, 34
1020, 239, 2, 39
1021, 239, 2, 39
1022, 441, 3, 41
1023, 24, 0, 24
1024, 32, 0, 32
1025, 341, 3, 41
1026, 1052, 8, 52
1027, 136, 1, 36
1028, 31, 0, 31
1029, 25, 0, 25
1030, 138, 1, 38
1031, 235, 2, 35
1032, 340, 3, 40
1033, 139, 1, 39
1034, 131, 1, 31
1035, 135, 1, 35
1036, 335, 3, 35
1037, 32, 0, 32
1038, 235, 2, 35
1039, 27, 0, 27
1040, 238, 2, 38
1041, 30, 0, 30
1042, 25, 0, 25
1043, 25, 0, 25
1044, 28, 0, 28
1045, 233, 2, 33
1046, 28, 0, 28
1047, 138, 1, 38
1048, 28, 0, 28
1049, 343, 3, 43
1050, 238, 2, 38
1051, 130, 1, 30
1052, 342, 3, 42
1053, 125, 1, 25
1054, 120, 1, 20
1055, 241, 2, 41
1056, 139, 1, 39
1057, 446, 4, 46
1058, 136, 1, 36
1059, 34, 0, 34
1060, 239, 2, 39
1061, 444, 4, 44
1062, 444, 4, 44
1063, 26, 0, 26
1064, 338, 3, 38
1065, 134, 1, 34
1066, 127, 1, 27
1067, 25, 0, 25
1068, 343, 3, 43
1069, 239, 2, 39
1070, 440, 4, 40
1071, 336, 3, 36
1072, 540, 4, 40
1073, 649, 6, 49
1074, 28, 0, 28
1075, 746, 4, 46
1076, 131, 1, 31
1077, 236, 2, 36
1078, 340, 3, 40
1079, 240, 2, 40
1080, 337, 3, 37
1081, 444, 4, 44
1082, 547, 4, 47
1083, 20, 0, 20
1084, 445, 4, 45
1085, 134, 1, 34
