Episode, Score, Lines, Counts
821, 1058, 9, 58
822, 959, 9, 59
823, 1258, 9, 58
824, 1062, 10, 62
825, 1163, 11, 63
826, 1264, 12, 64
827, 1060, 9, 60
828, 957, 8, 57
829, 857, 8, 57
830, 858, 8, 58
831, 1165, 11, 65
832, 954, 8, 54
833, 957, 8, 57
834, 551, 5, 51
835, 756, 7, 56
836, 1162, 10, 62
837, 1056, 9, 56
838, 855, 8, 55
839, 446, 4, 46
840, 952, 7, 52
841, 1156, 9, 56
842, 1161, 10, 61
843, 1063, 10, 63
844, 851, 6, 51
845, 756, 7, 56
846, 1162, 10, 62
847, 860, 8, 60
848, 857, 8, 57
849, 859, 8, 59
850, 858, 8, 58
851, 1060, 9, 60
852, 656, 6, 56
853, 958, 9, 58
854, 1059, 10, 59
855, 1160, 10, 60
856, 653, 6, 53
857, 857, 8, 57
858, 753, 7, 53
859, 651, 6, 51
860, 1667, 14, 67
861, 1060, 9, 60
862, 753, 7, 53
863, 1063, 10, 63
864, 1060, 9, 60
865, 1163, 10, 63
866, 1062, 10, 62
867, 855, 7, 55
868, 958, 8, 58
869, 955, 8, 55
870, 1362, 10, 62
871, 651, 5, 51
872, 652, 6, 52
873, 962, 9, 62
874, 957, 8, 57
875, 959, 9, 59
876, 1153, 9, 53
877, 1569, 14, 69
878, 1060, 10, 60
879, 1263, 11, 63
880, 1162, 10, 62
881, 1360, 10, 60
882, 653, 6, 53
883, 958, 8, 58
884, 755, 7, 55
885, 1264, 11, 64
886, 1060, 9, 60
887, 1159, 10, 59
888, 958, 8, 58
889, 1157, 8, 57
890, 1061, 10, 61
891, 1062, 9, 62
892, 754, 6, 54
893, 651, 6, 51
894, 854, 7, 54
895, 549, 5, 49
896, 1055, 8, 55
897, 447, 4, 47
898, 1470, 13, 70
899, 1257, 9, 57
900, 1057, 8, 57
901, 960, 9, 60
902, 1059, 10, 59
903, 1061, 10, 61
904, 1464, 11, 64
905, 1165, 11, 65
906, 1161, 10, 61
907, 1164, 11, 64
908, 1058, 9, 58
909, 855, 7, 55
910, 1059, 10, 59
911, 958, 9, 58
912, 958, 9, 58
913, 858, 8, 58
914, 1060, 9, 60
915, 1061, 9, 61
916, 1461, 10, 61
917, 1061, 10, 61
918, 954, 8, 54
919, 1268, 12, 68
920, 857, 8, 57
921, 962, 9, 62
922, 1261, 11, 61
923, 1161, 10, 61
924, 958, 8, 58
925, 956, 8, 56
926, 857, 7, 57
927, 1065, 10, 65
928, 653, 6, 53
929, 1165, 11, 65
930, 959, 9, 59
931, 1261, 9, 61
932, 652, 6, 52
933, 1262, 11, 62
934, 549, 5, 49
935, 957, 8, 57
936, 756, 7, 56
937, 753, 7, 53
938, 960, 9, 60
939, 1365, 12, 65
940, 756, 7, 56
941, 1060, 9, 60
942, 1161, 10, 61
943, 959, 9, 59
944, 961, 9, 61
945, 859, 8, 59
946, 957, 8, 57
947, 753, 7, 53
948, 1059, 9, 59
949, 954, 8, 54
950, 1054, 8, 54
951, 1266, 11, 66
952, 960, 9, 60
953, 857, 8, 57
954, 1258, 9, 58
955, 756, 7, 56
956, 1065, 10, 65
957, 960, 9, 60
958, 956, 8, 56
